name,genre,summary,daily_time
The Sun Also Rises,"Literary Fiction","expats,war,fiesta,bullfighting,love",50
Heart of Darkness,"Adventure, Literary Fiction","colonialism,river,ivory,darkness,morality",35
Ulysses,"Literary Fiction, Modernist","dublin,stream consciousness,day in life,identity",120
Madame Bovary,"Literary Fiction, Romance","boredom,adultery,provincial,desire,ruin",60
The Stranger,"Philosophy, Literary Fiction","absurdism,murder,trial,algeria,existentialism",45
The Adventures of Huckleberry Finn,"Adventure, Children’s Fiction","river,freedom,racism,friendship,journey",40
Don Quixote,"Adventure, Satire","knight,delusion,winds,humor,quest",90
Rebecca,"Mystery, Gothic","mansion,second wife,sea,memory,secret",55
The Trial,"Philosophy, Literary Fiction","bureaucracy,law,justice,absurd,franz kafka",50
A Tale of Two Cities,"Historical Fiction, Drama","revolution,paris,london,sacrifice,war",75
Gulliver's Travels,"Adventure, Satire","islands,giant,little people,society,critique",45
The Scarlet Letter,"Historical Fiction, Romance","puritan,adultery,shame,retribution,pearl",60
Native Son,"Literary Fiction","race,poverty,violence,chicago,identity",55
On the Road,"Adventure, Literary Fiction","beat,travel,america,freedom,friendship",50
Of Mice and Men,"Drama, Literary Fiction","friendship,dreams,farm,violence,loneliness",35
The Alchemist,"Adventure, Philosophical","journey,omens,dreams,desert,treasure",30
The Color Purple,"Historical Fiction, Drama","sisterhood,abuse,africa,letter,identity",55
The Old Man and the Sea,"Adventure, Literary Fiction","fishing,sea,struggle,old man,marlin",30
Dune,"Science Fiction, Adventure","desert,politics,spice,empire,prophecy",80
Ender's Game,"Science Fiction, Young Adult (YA)","battle school,alien,strategy,child genius",45
The Handmaid's Tale,"Dystopian, Science Fiction","oppression,femininity,freedom,theocracy",50
A Clockwork Orange,"Science Fiction, Dystopian","violence,free will,youth,gang,ludwig",50
The Road,"Post-Apocalyptic, Literary Fiction","father,son,survival,desolation,journey",45
The Hitchhiker's Guide to the Galaxy,"Science Fiction, Comedy","humor,space,adventure,guide,galactic",40
The Kite Runner,"Historical Fiction, Drama","afghanistan,friendship,redemption,trauma,kite",55
Life of Pi,"Adventure, Philosophical","shipwreck,tiger,faith,survival,storytelling",45
Memoirs of a Geisha,"Historical Fiction, Drama","japan,geisha,culture,war,beauty",60
The Shining,"Horror, Thriller","hotel,ghosts,murder,psychological,isolated",55
It,"Horror, Thriller","clown,pennywise,derry,childhood,fear",120
The Da Vinci Code,"Mystery, Thriller","art,secret,church,code,conspiracy",60
Angels & Demons,"Mystery, Thriller","vatican,secret society,science,code,chase",60
Inferno,"Mystery, Thriller","dante,plague,code,conspiracy,italy",60
The Girl with the Dragon Tattoo,"Mystery, Crime","investigation,sweden,violence,secret,family",70
Gone Girl,"Mystery, Thriller","marriage,missing,deception,twist,media",60
The Silence of the Lambs,"Crime, Thriller","serial killer,psychology,fbi,escape,antagonist",55
The Pillars of the Earth,"Historical Fiction, Drama","cathedral,construction,medieval,ambition,conflict",85
Jurassic Park,"Science Fiction, Adventure","dinosaurs,island,chaos,theory,escape",50
The Stand,"Horror, Science Fiction","plague,survival,good vs evil,community",150
The Count of Monte Cristo: The Graphic Novel,"Adventure, Historical Fiction","betrayal,revenge,prison,escape,treasure",70
Madeline,"Children’s Fiction","school,paris,girl,bravery,teacher",20
Charlotte's Web,"Children’s Fiction","spider,friendship,farmer,pig,life",25
The Secret Garden,"Children’s Fiction, Adventure","garden,friendship,healing,secret,children",30
Where the Wild Things Are,"Children’s Fiction, Fantasy","imagination,monsters,island,home",15
The Jungle Book,"Children’s Fiction, Adventure","india,wild animals,friendship,jungle",35
Black Beauty,"Children’s Fiction","horse,kindness,farm,abuse,freedom",30
The Wind in the Willows,"Children’s Fiction, Fantasy","river,animals,adventure,friendship",35
Peter Pan,"Fantasy, Children’s Fiction","neverland,flight,childhood,peter,crocodile",30
The Chronicles of Narnia,"Fantasy, Children’s Fiction","narnia,magic,lion,children,war",90
Matilda,"Children’s Fiction, Fantasy","magic,gifted girl,school,roald dahl",30
Charlie and the Chocolate Factory,"Children’s Fiction, Fantasy","chocolate,factory,willy wonka,children",30
Goodnight Moon,"Children’s Fiction","bedtime,moon,rhymes,home,quiet",10
The Fault in Our Stars,"Romance, Young Adult (YA)","cancer,love,teenage,loss,hope",40
Twilight,"Romance, Fantasy, Young Adult (YA)","vampire,love,high school,forever,identity",45
The Hunger Games,"Science Fiction, Young Adult (YA)","arena,rebellion,government,survival,sacrifice",50
Catching Fire,"Science Fiction, Young Adult (YA)","arena,revolution,alliance,sacrifice,trust",50
Mockingjay,"Science Fiction, Young Adult (YA)","rebellion,war,hope,sacrifice,leadership",55
Divergent,"Science Fiction, Young Adult (YA)","society,choice,identity,rebellion,training",45
Insurgent,"Science Fiction, Young Adult (YA)","factions,loyalty,choice,rebellion,ally",45
Allegiant,"Science Fiction, Young Adult (YA)","truth,society,choice,rebellion,freedom",45
Maze Runner,"Science Fiction, Young Adult (YA)","labyrinth,escape,friendship,danger",50
The Giver,"Science Fiction, Young Adult (YA)","memory,society,choice,control,awakening",35
Paper Towns,"Mystery, Young Adult (YA)","road trip,disappearance,identity,clues",40
Looking for Alaska,"Young Adult (YA), Drama","friendship,loss,pranks,search,teenage",40
The Perks of Being a Wallflower,"Young Adult (YA), Drama","letters,friendship,trauma,high school",40
Eleanor & Park,"Romance, Young Adult (YA)","first love,music,bullying,identity",40
Speak,"Drama, Young Adult (YA)","silence,trauma,voice,healing,high school",35
The Maze of Bones,"Adventure, Young Adult (YA)","clues,treasure,brothers,codes,escape",45
Endurance,"Non-Fiction, Biography","antarctica,exploration,ship,survival,shackleton",60
Unbroken,"Non-Fiction, Biography","wwii,prisoner,survival,endurance,olympian",70
The Wright Brothers,"Non-Fiction, Biography","aviation,invention,siblings,flight,history",50
Steve Jobs,"Non-Fiction, Biography","technology,innovation,apple,entrepreneurship",60
The Immortal Life of Henrietta Lacks,"Non-Fiction","cells,science,ethics,medicine,heLa",65
Sapiens,"Non-Fiction, Science","human evolution,culture,history,anthropology",70
Educated,"Memoir, Non-Fiction","family,education,mountain,identity,learning",60
The Power of Habit,"Non-Fiction, Motivation","habits,behavior,change,routine,psychology",45
Outliers,"Non-Fiction, Business","success,culture,practice,achievement",50
Rich Dad Poor Dad,"Non-Fiction, Business","finance,investment,mindset,wealth",45
The Lean Startup,"Non-Fiction, Business","entrepreneurship,innovation,startup,method",50
Quiet,"Non-Fiction, Psychology","introvert,energy,work,society,identity",60
Grit,"Non-Fiction, Motivation","passion,perseverance,success,effort",45
The Art of War,"Philosophy, Strategy","war,tactics,leadership,strategy,china",35
Man's Search for Meaning,"Philosophy, Memoir","holocaust,meaning,survival,logotherapy",50
Meditations,"Philosophy","stoicism,self,reflection,discipline",40
The Republic,"Philosophy, Political","justice,state,plato,ideal society",80
Leviathan,"Philosophy, Political","state,nature,sovereignty,hobbes",75
Walden,"Philosophy, Nature","simplicity,nature,life,reflection",60
The Prince,"Philosophy, Political","power,state,machiavelli,rule",40
Thus Spoke Zarathustra,"Philosophy, Fiction","existence,übermensch,wisdom,nietzsche",70
The Etiquette of Freedom,"History, Non-Fiction","revolution,liberty,rights,law",60
A People’s History of the United States,"History, Non-Fiction","america,history,voices,conflict",80
"Guns, Germs, and Steel","History, Science","civilization,geography,development,inequality",75
The Silk Roads,"History, Non-Fiction","trade,asia,europe,culture,exchange",70
Team of Rivals,"History, Biography","lincoln,cabinet,leadership,civil war",85
The Wright Brothers,"History, Biography","aviation,invention,siblings,flight",50
Black Rednecks and White Liberals,"History, Non-Fiction","culture,history,identity,society",65
The History of the Ancient World,"History, Non-Fiction","civilizations,egypt,rome,mesopotamia",90
Orientalism,"History, Non-Fiction","west,east,culture,representation",70
The Book Thief,"Historical Fiction, Drama","wwii,germany,books,death,friendship",55
All the Light We Cannot See,"Historical Fiction","wwii,france,blindness,war,connection",60
The Nightingale,"Historical Fiction, Drama","france,wwii,sisters,war,sacrifice",60
Water for Elephants,"Historical Fiction, Romance","circus,love,train,disaster,depession era",50
The Help,"Historical Fiction, Drama","racism,mississippi,servants,friendship,change",55
The Glass Castle,"Memoir, Non-Fiction","family,poverty,home,education,hope",60
Born a Crime,"Memoir, Non-Fiction","south africa,race,humor,identity,apartheid",50
Wild,"Memoir, Non-Fiction","mountain,healing,solo,hike,identity",45
Into the Wild,"Non-Fiction, Adventure","alaska,freedom,nature,loneliness,survival",50
The Omnivore’s Dilemma,"Non-Fiction, Science","food,industrial,ethics,health,environment",60
Quiet American,"Literary Fiction, Political","vietnam,espionage,innocence,conflict",55
A Farewell to Arms,"War, Romance","wwi,love,injury,loss,ambulance",60
The Heart is a Lonely Hunter,"Literary Fiction, Drama","deaf,friendship,isolation,small town",55
The Death of Ivan Ilyich,"Literary Fiction, Philosophy","mortality,life,lawyer,realization",45
The Stranger Beside Me,"True Crime, Non-Fiction","serial killer,friendship,murder,america",50
In Cold Blood,"True Crime, Non-Fiction","murder,investigation,america,psychology",60
Mindhunter,"True Crime, Non-Fiction","fbi,serial killers,profiling,psychology",50
The Girls,"Crime, Thriller","small town,violence,missing sisters,secret",55
The Silent Patient,"Mystery, Thriller","psychological,silence,murder,therapy,twist",50
Big Little Lies,"Mystery, Drama","secrets,friendship,crime,beach town",45
The Woman in Cabin 10,"Mystery, Thriller","cruise,missing,paranoia,twist",45
Before I Go to Sleep,"Mystery, Thriller","amnesia,memory,therapy,identity",45
Behind Closed Doors,"Thriller, Crime","marriage,secret,trap,escape",40
Sharp Objects,"Mystery, Thriller","small town,murder,journalist,trauma",45
The Reversal,"Crime, Legal Thriller","trial,lawyers,murder,justice",60
The Lincoln Lawyer,"Crime, Thriller","lawyer,case,los angeles,justice",50
The Firm,"Legal Thriller, Crime","lawyers,firm,secret,justice",55
The Pelican Brief,"Legal Thriller, Mystery","lawyers,conspiracy,government",60
Black Hawk Down,"War, Non-Fiction","mogadishu,combat,marines,urban battle",70
Band of Brothers,"War, Non-Fiction","wwii,paratroopers,company,europe",75
Flags of Our Fathers,"War, Non-Fiction","iwo jima,soldiers,america,history",65
We Were Soldiers Once... and Young,"War, Non-Fiction","vietnam,combat,leadership,helicopters",70
With the Old Breed,"War, Memoir","pacific,wwii,marines,battle,Iwo Jima",80
The Forever War,"Science Fiction, War","time dilation,army,alien,trauma",70
All Quiet on the Western Front,"War, Literary Fiction","wwi,trenches,loss,comradeship",65
Bird Box,"Horror, Thriller","creature,blindness,survival,river",50
World War Z,"Horror, Science Fiction","zombies,pandemic,survival,society",70
